indice;id;protocoloRN;siglaTribunal;grau;grau_valido;classeProcessual;classeProcessual_valida;numero;numero_valido;faseProcessual;segmentoJustica;assuntos;assuntos_count;assuntos_validos;assuntos_invalidos;assuntos_invalidos_count;dataAjuizamento;dataAjuizamento_parsed;dataAjuizamento_valida;millisInsercao;millisInsercao_parsed;orgaoJulgador_codigoOrgao;orgaoJulgador_valido;codigoLocalidade;codigoLocalidade_valido;nivelSigilo;procEl;procEl_valido;dscSistema;dscSistema_valido;polo_at_count;polo_at_fisica_count;polo_at_fisica_documento_count;polo_at_fisica_documento_valido_count;polo_at_fisica_sem_nome_count;polo_at_fisica_sem_sexo_count;polo_at_fisica_sem_dataNascimento_count;polo_at_fisica_sexo_array;polo_at_juridica_count;polo_at_juridica_documento_count;polo_at_juridica_documento_valido_count;polo_at_autoridade_count;polo_at_orgaorepresentacao_count;polo_pa_count;polo_pa_fisica_count;polo_pa_fisica_documento_count;polo_pa_fisica_documento_valido_count;polo_pa_fisica_sem_nome_count;polo_pa_fisica_sem_sexo_count;polo_pa_fisica_sem_dataNascimento_count;polo_pa_fisica_sexo_array;polo_pa_juridica_count;polo_pa_juridica_documento_count;polo_pa_juridica_documento_valido_count;polo_pa_autoridade_count;polo_pa_orgaorepresentacao_count;polo_vi_count;polo_vi_fisica_count;polo_vi_juridica_count;polo_vi_autoridade_count;polo_vi_orgaorepresentacao_count;mov_count;mov_count_invalido;mov_array_invalido;mov_exige_complemento_count;mov_exige_complemento_sem_complemento;mov_exige_complemento_count_invalido;mov_exige_complemento_array_invalido;mov_dataHora_count_invalido;mov_magistradoProlator_count;mov_magistradoProlator_count_invalido;mov_ultimo_nivel_count_invalido;mov_ultimo_nivel_array_invalido;mov_1st_recebimento_cod;mov_1st_recebimento_descricao;mov_1st_recebimento_complemento;mov_1st_recebimento_dataHora;mov_1st_recebimento_ano;mov_1st_denuncia_queixa_cod;mov_1st_denuncia_queixa_dataHora;mov_1st_denuncia_queixa_ano;mov_1st_julgamento_cod;mov_1st_julgamento_descricao;mov_1st_julgamento_dataHora;mov_1st_julgamento_ano;mov_1st_tree_385_cod;mov_1st_tree_385_descricao;mov_1st_tree_385_dataHora;mov_1st_tree_385_ano;mov_1st_baixa_cod;mov_1st_baixa_descricao;mov_1st_baixa_dataHora;mov_1st_baixa_complemento;mov_1st_baixa_ano;mov_last_baixa_cod;mov_last_baixa_descricao;mov_last_baixa_dataHora;mov_last_baixa_complemento;mov_last_baixa_ano;mov_1st_execucao_iniciada_cod;mov_1st_execucao_iniciada_descricao;mov_1st_execucao_iniciada_dataHora;mov_1st_execucao_iniciada_complemento;mov_1st_execucao_iniciada_classe_anterior;mov_1st_execucao_iniciada_classe_nova;mov_1st_homolog_revog_cod;mov_1st_homolog_revog_descricao;mov_1st_homolog_revog_dataHora;mov_1st_homolog_revog_ano;mov_1st_conc_deneg_cod;mov_1st_conc_deneg_descricao;mov_1st_conc_deneg_dataHora;mov_1st_conc_deneg_ano;mov_1st_decreta_falencia_cod;mov_1st_decreta_falencia_descricao;mov_1st_decreta_falencia_dataHora;mov_1st_decreta_falencia_ano;mov_last_sobrestamento_cod;mov_last_sobrestamento_descricao;mov_last_sobrestamento_dataHora;mov_last_sobrestamento_ano;mov_last_dessobrestamento_cod;mov_last_dessobrestamento_descricao;mov_last_dessobrestamento_dataHora;mov_last_dessobrestamento_ano;mov_last_mov_cod;mov_last_mov_descricao;mov_last_mov_dataHora;mov_last_mov_ano;mov_Sent_count;mov_Sent_count_2018;mov_Sent_count_2019;mov_Sent_count_2020;mov_Sent_count_2021;mov_Sent_count_2022;mov_Sent_array_data;mov_Sent_homolog_count;mov_Sent_homolog_count_2018;mov_Sent_homolog_count_2019;mov_Sent_homolog_count_2020;mov_Sent_homolog_count_2021;mov_Sent_homolog_count_2022;mov_SentC_count;mov_SentC_count_2018;mov_SentC_count_2019;mov_SentC_count_2020;mov_SentC_count_2021;mov_SentC_count_2022;mov_SentC_array_data;mov_Liminar_count;mov_Liminar_count_2018;mov_Liminar_count_2019;mov_Liminar_count_2020;mov_Liminar_count_2021;mov_Liminar_count_2022;mov_Audiencia_count;mov_Audiencia_count_invalida;mov_AudConc_count;mov_AudConc_count_2018;mov_AudConc_count_2019;mov_AudConc_count_2020;mov_AudConc_count_2021;mov_AudConc_count_2022;mov_AudConc_array_data;mov_last_51_cod;mov_last_51_descricao;mov_last_51_dataHora;mov_last_julgamento_cod;mov_last_julgamento_descricao;mov_last_julgamento_dataHora;mov_1st_sessao_juri_cod;mov_1st_sessao_juri_descricao;mov_1st_sessao_juri_dataHora;mov_1st_sessao_juri_complemento;mov_1st_condenacao_procedente_cod;mov_1st_condenacao_procedente_descricao;mov_1st_condenacao_procedente_dataHora;mov_distribuicao_cancelada_flag;mov_remessa_count;mov_remessa_count_invalida;mov_mudanca_classe_count;mov_mudanca_classe_count_invalida;mov_mudanca_classe_codigos;mov_mudanca_classe_datas;mov_mudanca_classe_anteriores;mov_mudanca_classe_novas;mov_mudanca_classe_complementos;mov_suspencao_count;mov_suspencao_count_invalida;mov_suspencao_complementos;mov_medida_protetiva_count;mov_medida_protetiva_count_invalida;mov_medida_protetiva_complementos;mov_procedimento_restaurativo_count;mov_procedimento_restaurativo_count_invalido;mov_procedimento_restaurativo_complementos;mov_last_reativacao_cod;mov_last_reativacao_descricao;mov_last_reativacao_dataHora;classesProcessuais
processos-tjrr;TJRR_1727_G1_2772_00000046420188230010;TJRR87748202110151634325835684;TJRR;G1;True;1727;True;00000046420188230010;True;1;Justiça Estadual;10952;1;True;"";0;20180105000000;20180105000000;True;1634505213157;20211017181333;2772;True;1400100;True;0;1;True;2;True;1;1;1;1;0;0;0;M;0;0;0;0;0;1;0;0;0;0;0;0;"";0;0;0;0;1;0;0;0;0;0;25;0;"";10;0;0;"";0;3;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20180105000000;2018;"";"";"";459.0;"";20180523112343;2018;"";"";"";"";22.0;"";20180309113336;"";2018.0;246.0;"";20180628163317;"";2018.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";246;"";20180628163317;2018;1;1;0;0;0;0;['20180523112343'];0;0;0;0;0;0;1;1;0;0;0;0;['20180523112343'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];51.0;"";20180514173654;459.0;"";20180523112343;"";"";"";"";"";"";"";False;3;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[1727]
processos-tjrr;TJRR_1268_G1_2782_00000073220138230030;TJRR65773202110151634326198214;TJRR;G1;True;1268;True;00000073220138230030;True;1;Justiça Estadual;10508;1;True;"";0;20130110160135;20130110160135;True;1634505153320;20211017181233;2782;True;1400308;True;0;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;0;0;0;0;1;M;0;0;0;0;0;1;1;0;0;0;29;0;"";14;0;0;"";0;3;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20130110160135;2013;"";"";"";219.0;"";20130111000000;2013;219.0;"";20130111000000;2013;22.0;"";20150615105633;"";2015.0;22.0;"";20150615105633;"";2015.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";20150615105633;2015;1;0;0;0;0;0;['20130111000000'];0;0;0;0;0;0;1;0;0;0;0;0;['20130111000000'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];51.0;"";20150603000000;219.0;"";20130111000000;"";"";"";"";219.0;"";20130111000000;False;2;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[1268]
processos-tjrr;TJRR_279_G1_2783_00000091520178230045;TJRR23445202110151634321582939;TJRR;G1;True;279;True;00000091520178230045;True;1;Justiça Estadual;9661;1;True;"";0;20170108104217;20170108104217;True;1634503635478;20211017174715;2783;True;1400456;True;0;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;1;1;0;0;0;M;0;0;0;0;0;1;1;0;0;0;2;0;"";1;0;0;"";0;0;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20170108104217;2017;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";493;"";20170109000000;2017;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];"";"";"";"";"";"";"";"";"";"";"";"";"";False;0;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[279]
processos-tjrr;TJRR_280_G1_2781_00000262920178230020;TJRR55848202110151634323873796;TJRR;G1;True;280;True;00000262920178230020;True;1;Justiça Estadual;3435;1;True;"";0;20170103115433;20170103115433;True;1634504317275;20211017175837;2781;True;1400209;True;0;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;0;0;0;0;0;M;0;0;0;0;0;1;1;0;0;0;6;0;"";2;0;0;"";0;1;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20170103115433;2017;"";"";"";"";"";"";"";"";"";"";"";22.0;"";20191228162512;"";2019.0;22.0;"";20191228162512;"";2019.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";20191228162512;2019;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];51.0;"";20170629000000;"";"";"";"";"";"";"";"";"";"";False;0;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[280]
processos-tjrr;TJRR_283_G1_2784_00000282520118230047;TJRR35754202110151634323920871;TJRR;G1;True;283;True;00000282520118230047;True;1;Justiça Estadual;3417;1;True;"";0;20110118204741;20110118204741;True;1634504461930;20211017180101;2784;True;1400472;True;0;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;5;5;2;2;0;0;0;M, M, M, M, M;0;0;0;0;0;3;3;0;0;0;197;0;"";92;0;0;"";0;21;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20110118204741;2011;391.0;20110121000000;2011;221.0;"";20150519000000;2015;221.0;"";20150519000000;2015;22.0;"";20170914154648;"";2017.0;22.0;"";20170914154648;"";2017.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";20170914154648;2017;2;0;0;0;0;0;['20150519000000', '20170209000000'];0;0;0;0;0;0;2;0;0;0;0;0;['20150519000000', '20170209000000'];0;0;0;0;0;0;5;0;0;0;0;0;0;0;[];51.0;"";20170705000000;11878.0;"";20170209000000;"";"";"";"";221.0;"";20150519000000;False;3;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[283]
processos-tjrr;TJRR_283_G1_12910_00000325920138230090;TJRR73283202110151634327724320;TJRR;G1;True;283;True;00000325920138230090;True;1;Justiça Estadual;3419;1;True;"";0;20130117000000;20130117000000;True;1634505297714;20211017181457;12910;True;1400159;True;0;1;True;2;True;1;0;0;0;0;0;0;"";0;0;0;0;1;1;1;0;0;0;0;1;M;0;0;0;0;0;1;1;0;0;0;121;0;"";52;0;0;"";0;11;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20130117132847;2013;391.0;20130127000000;2013;219.0;"";20140804000000;2014;219.0;"";20140804000000;2014;123.0;"";20141202000000;18:motivo_da_remessa:38;2014.0;246.0;"";20180423173718;"";2018.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";246;"";20180423173718;2018;1;0;0;0;0;0;['20140804000000'];0;0;0;0;0;0;1;0;0;0;0;0;['20140804000000'];0;0;0;0;0;0;8;0;0;0;0;0;0;0;[];51.0;"";20160922000000;219.0;"";20140804000000;"";"";"";"";219.0;"";20140804000000;False;2;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[283]
processos-tjrr;TJRR_283_G1_2780_00000377420158230005;TJRR98593202110151634324563020;TJRR;G1;True;283;True;00000377420158230005;True;1;Justiça Estadual;3416;1;True;"";0;20150315000000;20150315000000;True;1634505269708;20211017181429;2780;True;1400050;True;0;1;True;2;True;1;0;0;0;0;0;0;"";0;0;0;0;1;1;1;0;0;0;0;0;M;0;0;0;0;0;1;1;0;0;0;238;0;"";122;0;0;"";0;24;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20150316111044;2015;391.0;20150317000000;2015;219.0;"";20190308170641;2019;219.0;"";20190308170641;2019;246.0;"";20180227000000;"";2018.0;246.0;"";20190816102109;"";2019.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";246;"";20190816102109;2019;1;0;1;0;0;0;['20190308170641'];0;0;0;0;0;0;1;0;1;0;0;0;['20190308170641'];0;0;0;0;0;0;10;0;0;0;0;0;0;0;[];51.0;"";20190703083959;219.0;"";20190308170641;"";"";"";"";219.0;"";20190308170641;False;6;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[283]
processos-tjrr;TJRR_279_G1_12910_00000524520168230090;TJRR92383202110151634326377633;TJRR;G1;True;279;True;00000524520168230090;True;1;Justiça Estadual;8829;1;True;"";0;20160208103731;20160208103731;True;1634505052426;20211017181052;12910;True;1400159;True;0;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;0;0;0;0;0;F;0;0;0;0;0;0;0;0;0;0;10;0;"";2;0;0;"";0;1;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20160208103731;2016;"";"";"";459.0;"";20170216000000;2017;"";"";"";"";22.0;"";20170504113755;"";2017.0;22.0;"";20170504113755;"";2017.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";978;"";20170526000000;2017;1;0;0;0;0;0;['20170216000000'];0;0;0;0;0;0;1;0;0;0;0;0;['20170216000000'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];51.0;"";20170106000000;459.0;"";20170216000000;"";"";"";"";"";"";"";False;0;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[279]
processos-tjrr;TJRR_1465_G1_2781_00000546520158230020;TJRR38059202110151634325530602;TJRR;G1;True;1465;True;00000546520158230020;True;2;Justiça Estadual;10688;1;True;"";0;20150205110139;20150205110139;True;1634505404741;20211017181644;2781;True;1400209;True;1;2;True;8;True;0;0;0;0;0;0;0;"";0;0;0;0;0;1;1;0;0;0;0;0;M;0;0;0;0;0;0;0;0;0;0;11;0;"";2;0;0;"";0;1;0;0;"";26.0;"";['2:tipo_de_distribuicao_redistribuicao:2'];20150205110139;2015;"";"";"";10964.0;"";20150505000000;2015;10964.0;"";20150505000000;2015;22.0;"";20150819164645;"";2015.0;22.0;"";20150819164645;"";2015.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";22;"";20150819164645;2015;1;0;0;0;0;0;['20150505000000'];0;0;0;0;0;0;1;0;0;0;0;0;['20150505000000'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];51.0;"";20150407000000;10964.0;"";20150505000000;"";"";"";"";"";"";"";False;0;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[1465]
processos-tjrr;TJRR_98_G1_2787_00000652220188230010;TJRR22933202110151634327411485;TJRR;G1;True;98;True;00000652220188230010;True;1;Justiça Estadual;7664;1;True;"";0;20180223000000;20180223000000;True;1634505541815;20211017181901;2787;True;1400100;True;1;1;True;2;True;1;1;1;1;0;0;0;M;0;0;0;0;0;1;1;1;1;0;0;1;F;0;0;0;0;0;0;0;0;0;0;10;0;"";4;0;0;"";0;1;0;0;"";26;"";['2:tipo_de_distribuicao_redistribuicao:2'];20180223141759;2018;"";"";"";466.0;"";20180223000000;2018;466.0;"";20180223000000;2018;22.0;"";20180504083529;"";2018.0;22.0;"";20180504083529;"";2018.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";11383;"";20190301094341;2019;1;1;0;0;0;0;['20180223000000'];1;1;0;0;0;0;1;1;0;0;0;0;['20180223000000'];0;0;0;0;0;0;2;0;0;0;0;0;0;0;[];"";"";"";466.0;"";20180223000000;"";"";"";"";"";"";"";False;0;0;0;0;"";"";"";"";"";0;0;"";0;0;"";0;0;"";"";"";"";[98]
